,area,sub_area,project,status,url,tables,coordinates,last_photo_update
96,Business Bay,Business Bay,Millennium Binghatti Residences,Under development,https://propsearch.ae/dubai/millennium-binghatti-residences,"{'millennium-binghatti-residences-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '24', 'Building type': 'High-rise building', 'Total units': '230', 'Unit types': '113 studios58 one-bedroom apartments59 two-bedroom apartments'}, 'companies-associated-with-millennium-binghatti-residences': {'Developer': 'Binghatti Developers', 'Architectural Consultant': 'Eng. Adnan Saffarini', 'Contractor': 'Granada Europe Engineering Contracting Co.'}, 'millennium-binghatti-residences-milestones': {'Date Launched': 'March 2018', 'Estimated Handover Date': 'Q4 2019', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°10 51""N 55°16 8.8""E","{'caption': 'Millennium Binghatti Residences, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/millennium-binghatti-residences-28556_xl.jpg'}"
98,Business Bay,Business Bay,Moon Tower,Under development,https://propsearch.ae/dubai/moon-tower,"{'moon-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '20', 'Building type': 'High-rise building', 'Total units': '255', 'Unit types': 'StudiosOne-bedroom apartmentsTwo-bedroom apartments'}, 'companies-associated-with-moon-tower': {'Developer': 'Arabia Group Investment Limited', 'Architectural Consultant': 'Chawla Architectural & Consulting Engineers'}, 'moon-tower-milestones': {'Date Launched': '2007', 'Revised Estimated Handover Date': 'Q4 2016', 'Construction Started': '2009'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '20 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '13 mins drive', 'Burj Al Arab': '20 mins drive', 'Ibn Battuta Mall': '25 mins drive', 'The Walk JBR': '25 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°11 3.5""N 55°17 5.1""E","{'caption': 'Moon Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/moon-tower-28532_xl.jpg'}"
99,Business Bay,Business Bay,Mövenpick Hotel & Living,Under development,https://propsearch.ae/dubai/movenpick-hotel-living,"{'mövenpick-hotel-&-living-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '36', 'Building type': 'Skyscraper', 'Total units': '403'}, 'companies-associated-with-mövenpick-hotel-&-living': {'Developer': 'SAAS Properties', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'Kele Contracting'}, 'mövenpick-hotel-&-living-milestones': {'Estimated Handover Date': 'Q4 2016', 'Construction Started': '2015'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '44 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '7 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '25 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '17 mins drive'}}","25°11 19.6""N 55°16 13.1""E","{'caption': 'Mövenpick Hotel Apartments Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/movenpick-hotel-apartments-business-bay-28626_xl.jpg'}"
108,Business Bay,Business Bay,Nobles Residential Tower,Under development,https://propsearch.ae/dubai/nobles-residential-tower,"{'nobles-residential-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '53', 'Floors below ground': '2', 'Building type': 'Skyscraper', 'Total units': '549', 'Unit types': '278 one-bedroom apartments239 two-bedroom apartments32 three-bedroom apartments'}, 'companies-associated-with-nobles-residential-tower': {'Developer': 'Tiger Properties', 'Architectural Consultant': 'LACASA Architects & Engineering Consultants', 'Contractor': 'Tiger International General Contracting'}, 'nobles-residential-tower-milestones': {'Date Launched': 'September 2017', 'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '22 mins drive', 'Al Maktoum International Airport': '43 mins drive', 'La Mer by Meraas': '18 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '21 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '26 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°11 4.5""N 55°17 24.8""E","{'caption': 'Nobles Residential Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/nobles-residential-tower-28522_xl.jpg'}"
110,Business Bay,Business Bay,Marble Arch Tower,Under development,https://propsearch.ae/dubai/marble-arch-tower,"{'marble-arch-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development'}, 'companies-associated-with-marble-arch-tower': {'Architectural Consultant': 'DXB Design Studio', 'Contractor': 'Modern Executive Systems Contracting', 'Piling Contractor': 'Geo Foundation Group'}, 'marble-arch-tower-milestones': {'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '19 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '11 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '22 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '19 mins drive'}}","25°10 46.8""N 55°15 53.9""E","{'caption': 'Marble Arch Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/marble-arch-tower-28563_xl.jpg'}"
118,Business Bay,Business Bay,Mama Shelter Dubai,Under development,https://propsearch.ae/dubai/mama-shelter-dubai,"{'mama-shelter-dubai-key-information': {'Location type': 'Mixed-use building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '25', 'Floors below ground': '3', 'Building type': 'Skyscraper', 'Total units': '201'}, 'companies-associated-with-mama-shelter-dubai': {'Developer': 'Kappa Acca Real Estate Development', 'Owner': 'Khamas Group of Investment Companies', 'Architectural Consultant': 'Franklin Azzi Architecture', 'Contractor': 'CRC Engineering Company LLC', 'Piling Contractor': 'TMF Euro Foundations'}, 'mama-shelter-dubai-milestones': {'Date Launched': 'May 2017', 'Estimated Handover Date': '2020', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '20 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '11 mins drive', 'Burj Al Arab': '20 mins drive', 'Ibn Battuta Mall': '25 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '21 mins drive'}}","25°10 48.3""N 55°16 18.9""E","{'caption': 'Mama Shelter Dubai, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/mama-shelter-dubai-28548_xl.jpg'}"
121,Business Bay,Business Bay,Lillian Tower,Under development,https://propsearch.ae/dubai/lillian-tower,"{'lillian-tower-key-information': {'Location type': 'Mixed-use building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Floors below ground': '3', 'Building type': 'Skyscraper', 'Total units': '583'}, 'companies-associated-with-lillian-tower': {'Developer': 'Marya Investments'}, 'lillian-tower-milestones': {'Date Launched': '2007', 'Estimated Handover Date': '2016'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '13 mins drive', 'Dubai Mall': '7 mins drive', 'Burj Al Arab': '16 mins drive', 'Ibn Battuta Mall': '22 mins drive', 'The Walk JBR': '21 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°11 14.3""N 55°15 45.4""E","{'caption': 'Lillian Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/lillian-tower-28578_xl.jpg'}"
133,Business Bay,Business Bay,AG Tower Business Bay,Under development,https://propsearch.ae/dubai/ag-tower-business-bay,"{'ag-tower-business-bay-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '29', 'Building type': 'Skyscraper', 'Total units': '437', 'Unit types': 'One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments'}, 'companies-associated-with-ag-tower-business-bay': {'Developer': 'Arabian Gulf Properties', 'Financier': 'Emirates NBD', 'Architectural Consultant': 'CVTEC Consulting Engineers', 'Contractor': 'Beijing Emirates International Construction Co.', 'MEP Consultant': 'City Compass Electromechanical'}, 'ag-tower-business-bay-milestones': {'Date Launched': '2015', 'Construction Started': '2016'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '38 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '22 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°10 47.6""N 55°16 8.9""E","{'caption': 'AG Tower Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/ag-tower-business-bay-28560_xl.jpg'}"
134,Business Bay,Business Bay,Ahad Residences,Under development,https://propsearch.ae/dubai/ahad-residences,"{'ahad-residences-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '31', 'Floors below ground': '5', 'Building type': 'Skyscraper'}, 'companies-associated-with-ahad-residences': {'Developer': 'Mercury Investment Holding', 'Architectural Consultant': 'VX Architects', 'Interior Designer': 'Opaal', 'Contractor': 'Evan Lim Penta Construction LLC'}, 'ahad-residences-milestones': {'Date Launched': '2017', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '22 mins drive', 'Al Maktoum International Airport': '46 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '8 mins drive', 'Burj Al Arab': '21 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '26 mins drive', 'Dubai International Airport': '19 mins drive'}}","25°11 12""N 55°15 57.6""E","{'caption': 'Ahad Residences, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/ahad-residences-28628_xl.jpg'}"
140,Business Bay,Business Bay,Paramount Tower Hotel & Residences,Under development,https://propsearch.ae/dubai/paramount-tower-hotel-residences,"{'paramount-tower-hotel-&-residences-key-information': {'Location type': 'Mixed-use building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '66', 'Building type': 'Skyscraper', 'Total units': '826'}, 'companies-associated-with-paramount-tower-hotel-&-residences': {'Developer': 'Damac Properties', 'Architectural Consultant': 'LACASA Architects & Engineering Consultants'}, 'paramount-tower-hotel-&-residences-milestones': {'Date Launched': 'September 2014', 'Estimated Handover Date': 'Q3 2019', 'Construction Started': '2015'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '46 mins drive', 'La Mer by Meraas': '15 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '7 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '25 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '15 mins drive'}}","25°11 36.3""N 55°15 55.3""E","{'caption': 'Paramount Tower Hotel &amp; Residences, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/paramount-tower-hotel-residences-28638_xl.jpg'}"
144,Business Bay,Al Habtoor City,Amna Tower,Under development,https://propsearch.ae/dubai/amna-tower,"{'amna-tower-key-information': {'Location type': 'Residential building', 'Area': 'Al Habtoor City', 'Phase': 'Under development', 'Floors': '52', 'Height': '307 metres (1,007 feet)', 'Building type': 'Skyscraper', 'Total units': '537', 'Unit types': 'One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartmentsFive-bedroom apartmentsSix-bedroom apartmentsPenthouses'}, 'companies-associated-with-amna-tower': {'Developer': 'Al Habtoor Group', 'Architectural Consultant': 'WS Atkins & Partners'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '14 mins drive', 'Mall of the Emirates': '13 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '16 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '21 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°10 57.2""N 55°15 20.6""E","{'caption': 'Amna Tower, construction update July 2020.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/amna-tower-22350_xl.jpg'}"
158,Business Bay,Business Bay,Kingston Towers Business Bay,Under development,https://propsearch.ae/dubai/kingston-towers-business-bay,"{'kingston-towers-business-bay-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors below ground': '2'}, 'companies-associated-with-kingston-towers-business-bay': {'Developer': 'Kingston', 'Project Manager': 'Faithful & Gould', 'Architectural Consultant': 'Canadian Consultant', 'Engineering Consultant': 'MAK Consultancy & Architects', 'Contractor': 'Gulf Asia Contracting', 'Piling Contractor': 'Delta Foundations Co.'}, 'kingston-towers-business-bay-milestones': {'Date Launched': '2018', 'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°10 49.8""N 55°16 42.1""E","{'caption': 'Kingston Towers Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/kingston-towers-business-bay-28538_xl.jpg'}"
167,Business Bay,Business Bay,Sky Bay Hotel,Under development,https://propsearch.ae/dubai/sky-bay-hotel,"{'sky-bay-hotel-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '18', 'Building type': 'High-rise building', 'Total units': '440', 'Unit types': '440 hotel rooms'}, 'companies-associated-with-sky-bay-hotel': {'Developer': 'The First Group', 'Architectural Consultant': 'Alajmi Engineering Consultants', 'Contractor': 'Al Habbai Contracting LLC'}, 'sky-bay-hotel-milestones': {'Construction Started': '2016'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°10 41.3""N 55°16 4.7""E","{'caption': 'Sky Bay Hotel, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/sky-bay-hotel-28565_xl.jpg'}"
173,Business Bay,Business Bay,Safeer Tower 3,Under development,https://propsearch.ae/dubai/safeer-tower-3,"{'safeer-tower-3-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '20', 'Floors below ground': '1', 'Building type': 'High-rise building'}, 'companies-associated-with-safeer-tower-3': {'Developer': 'Al Seeb Real Estate Development', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'Rose City Contracting LLC'}, 'safeer-tower-3-milestones': {'Date Launched': '2018', 'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '19 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '22 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°10 47.6""N 55°16 40.4""E","{'caption': 'Safeer Tower 3, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/safeer-tower-3-28541_xl.jpg'}"
177,Business Bay,Business Bay,Ritz Carlton Hotel Apartments,Under development,https://propsearch.ae/dubai/ritz-carlton-hotel-apartments,"{'ritz-carlton-hotel-apartments-key-information': {'Location type': 'Hotel apartments building', 'Area': 'Business Bay', 'Phase': 'Under development'}, 'companies-associated-with-ritz-carlton-hotel-apartments': {'Developer': 'Kappa Acca Real Estate Development', 'Owner': 'Khamas Group of Investment Companies', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'AIC Contracting'}, 'ritz-carlton-hotel-apartments-milestones': {'Date Launched': 'Q1 2021'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '38 mins drive', 'La Mer by Meraas': '20 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '18 mins drive', 'Ibn Battuta Mall': '23 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°11 4.7""N 55°17 6.4""E","{'caption': 'Ritz Carlton Hotel Apartments, construction site signboard.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/ritz-carlton-hotel-apartments-28528_xl.jpg'}"
178,Business Bay,Business Bay,Reva by Damac,Under development,https://propsearch.ae/dubai/reva-by-damac,"{'reva-by-damac-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development'}, 'companies-associated-with-reva-by-damac': {'Developer': 'Damac Properties', 'Architectural Consultant': 'U+A Architects', 'Contractor': 'Arabtec Construction', 'Piling Contractor': 'National Piling Company'}, 'reva-by-damac-milestones': {'Date Launched': 'January 2018', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '22 mins drive', 'Al Maktoum International Airport': '44 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '21 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '26 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°11 16""N 55°16 59.1""E","{'caption': 'Reva by Damac, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/reva-by-damac-28605_xl.jpg'}"
