,area,sub_area,project,status,url,tables,coordinates,last_photo_update
185,Business Bay,Business Bay,Ramee Grand Hotel & Spa,Under development,https://propsearch.ae/dubai/ramee-grand-hotel-spa,"{'ramee-grand-hotel-&-spa-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '20', 'Floors below ground': '4', 'Building type': 'High-rise building'}, 'companies-associated-with-ramee-grand-hotel-&-spa': {'Developer': 'Ramee Group', 'Architectural Consultant': 'Archgroup Consultants', 'Contractor': 'Delta Al Wadi Contracting', 'Piling Contractor': 'Delta Foundations Co.'}, 'ramee-grand-hotel-&-spa-milestones': {'Date Launched': '2017', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '8 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '23 mins drive', 'Dubai International Airport': '14 mins drive'}}","25°11 17.2""N 55°16 53.6""E","{'caption': 'Ramee Grand Hotel &amp; Spa, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/ramee-grand-hotel-spa-28593_xl.jpg'}"
189,Business Bay,Business Bay,SRG Holding Hotel Business Bay,Under development,https://propsearch.ae/dubai/srg-holding-hotel-business-bay,"{'srg-holding-hotel-business-bay-key-information': {'Location type': 'Mixed-use building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '29', 'Floors below ground': '1', 'Building type': 'Skyscraper'}, 'companies-associated-with-srg-holding-hotel-business-bay': {'Developer': 'SRG Holding Limited', 'Architectural Consultant': 'ERGA Progress Engineering Consultants', 'Contractor': 'Al Habbai Contracting LLC'}, 'srg-holding-hotel-business-bay-milestones': {'Date Launched': '2018', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '23 mins drive', 'Al Maktoum International Airport': '43 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '21 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '26 mins drive', 'Dubai International Airport': '17 mins drive'}}","25°11 6""N 55°17 23.1""E","{'caption': 'SRG Holding Hotel Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/srg-holding-hotel-business-bay-28521_xl.jpg'}"
192,Business Bay,Business Bay,Kempinski Business Bay,Under development,https://propsearch.ae/dubai/kempinski-business-bay,"{'kempinski-business-bay-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '25', 'Building type': 'Skyscraper', 'Total units': '240', 'Unit types': '240 hotel rooms'}, 'companies-associated-with-kempinski-business-bay': {'Developer': 'Seastar Properties Limited', 'Architectural Consultant': 'National Engineering Bureau'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '18 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '18 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '23 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°10 54.3""N 55°16 45.1""E","{'caption': 'Kempinski Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/kempinski-business-bay-28611_xl.jpg'}"
193,Business Bay,Business Bay,Kasco Tower,Under development,https://propsearch.ae/dubai/kasco-tower,"{'kasco-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '23', 'Floors below ground': '2', 'Building type': 'High-rise building'}, 'companies-associated-with-kasco-tower': {'Developer': 'Ahmed Al Janabi', 'Architectural Consultant': 'Next Engineering Consultants', 'Contractor': 'Sumer Contracting Company'}, 'kasco-tower-milestones': {'Date Launched': '2018', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '25 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '21 mins drive'}}","25°11 0.9""N 55°17 2.5""E","{'caption': 'Kasco Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/kasco-tower-28531_xl.jpg'}"
196,Business Bay,Business Bay,J One,Under development,https://propsearch.ae/dubai/j-one,"{'j-one-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development', 'Total units': '347'}, 'companies-associated-with-j-one': {'Developer': 'RKM Real Estate LLC', 'Financier': 'Commercial Bank of Dubai', 'Architectural Consultant': 'QHC Architects & Engineers LLC', 'Contractor': 'Ali & Sons Contracting'}, 'j-one-milestones': {'Date Launched': 'August 2017', 'Construction Started': '2017'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '18 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '8 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '15 mins drive'}}","25°11 10.3""N 55°17 0""E","{'caption': 'J One, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/j-one-28607_xl.jpg'}"
209,Business Bay,Business Bay,The Court Tower,Under development,https://propsearch.ae/dubai/the-court-tower,"{'the-court-tower-key-information': {'Location type': 'Office building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Building type': 'Skyscraper'}, 'companies-associated-with-the-court-tower': {'Developer': 'Tanmiyat Global', 'Architectural Consultant': 'Al Hazmi & Associates Consultant'}, 'the-court-tower-milestones': {'Date Launched': '2005', 'Construction Started': '2006'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '43 mins drive', 'La Mer by Meraas': '15 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '7 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°11 4.8""N 55°15 31.8""E","{'caption': 'The Court Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/the-court-tower-28572_xl.jpg'}"
219,Business Bay,Business Bay,The One Hotel Business Bay,Under development,https://propsearch.ae/dubai/the-one-hotel-business-bay,"{'the-one-hotel-business-bay-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '18', 'Floors below ground': '2', 'Building type': 'High-rise building', 'Total units': '492', 'Unit types': '492 hotel rooms'}, 'companies-associated-with-the-one-hotel-business-bay': {'Developer': 'The First Group', 'Architectural Consultant': 'Engineering Consultants Group', 'Contractor': 'China Railway 18th Bureau Group', 'Piling Contractor': 'Stromek Emirates Foundations', 'MEP Consultant': 'Heat & Power Turnkey MEP Solutions'}, 'the-one-hotel-business-bay-milestones': {'Date Launched': 'July 2016', 'Construction Started': '2017'}, 'proximity-to-landmarks': {'Palm Jumeirah': '19 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '23 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '17 mins drive'}}","25°10 44.3""N 55°16 32.8""E","{'caption': 'The One Hotel Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/the-one-hotel-business-bay-28543_xl.jpg'}"
233,Business Bay,Business Bay,Dorchester Hotel Dubai,Under development,https://propsearch.ae/dubai/dorchester-hotel-dubai,"{'dorchester-hotel-dubai-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '32', 'Floors below ground': '2', 'Building type': 'Skyscraper'}, 'companies-associated-with-dorchester-hotel-dubai': {'Developer': 'Sky Palaces Real Estate', 'Financier': 'Ajman Bank', 'Architectural Consultant': 'Foster + Partners', 'Contractor': 'Roberts Constructions', 'Piling Contractor': 'NSCC International'}, 'dorchester-hotel-dubai-milestones': {'Date Launched': '2017', 'Estimated Handover Date': '2020', 'Construction Started': '2017'}, 'proximity-to-landmarks': {'Palm Jumeirah': '22 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '20 mins drive', 'Mall of the Emirates': '17 mins drive', 'Dubai Mall': '13 mins drive', 'Burj Al Arab': '20 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '25 mins drive', 'Dubai International Airport': '22 mins drive'}}","25°11 16.3""N 55°17 17.6""E","{'caption': 'Dorchester Hotel Dubai, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/dorchester-hotel-dubai-28550_xl.jpg'}"
243,Business Bay,Business Bay,Dolphin Tower,Under development,https://propsearch.ae/dubai/dolphin-tower,"{'dolphin-tower-key-information': {'Location type': 'Hotel apartments building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '22', 'Building type': 'High-rise building', 'Total units': '330', 'Unit types': '330 hotel rooms'}, 'companies-associated-with-dolphin-tower': {'Owner': 'Farida Farnood', 'Hotel Operator': 'The First Group', 'Architectural Consultant': 'Arab Experts Engineering Consultants', 'Contractor': 'Modern Executive Systems Contracting'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°10 59.1""N 55°16 59.4""E","{'caption': 'Dolphin Tower, construction update January 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/dolphin-tower-26490_xl.jpg'}"
285,Business Bay,Business Bay,Bayz by Danube,Under development,https://propsearch.ae/dubai/bayz-by-danube,"{'bayz-by-danube-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Building type': 'Skyscraper', 'Total units': '456', 'Unit types': '264 studios120 one-bedroom apartments48 two-bedroom apartments24 three-bedroom apartments'}, 'companies-associated-with-bayz-by-danube': {'Developer': 'Danube Properties Development LLC', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'RAQ Contracting Co LLC'}, 'bayz-by-danube-milestones': {'Date Launched': 'May 2017', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '38 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '22 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°10 50.5""N 55°16 45.5""E","{'caption': 'Bayz by Danube, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/bayz-by-danube-28539_xl.jpg'}"
291,Business Bay,Business Bay,Corporate Bay Tower,Under development,https://propsearch.ae/dubai/corporate-bay-tower,"{'corporate-bay-tower-key-information': {'Location type': 'Office building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Floors below ground': '5', 'Building type': 'Skyscraper'}, 'companies-associated-with-corporate-bay-tower': {'Developer': 'Goldline Real Estate Development LLC', 'Architectural Consultant': 'Em Square Engineering Consultants', 'Contractor': 'China State Construction Engineering Corporation'}, 'corporate-bay-tower-milestones': {'Construction Started': '2007'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '44 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '19 mins drive'}}","25°11 5.3""N 55°15 40.1""E","{'caption': 'Corporate Bay Tower, construction update January 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/corporate-bay-tower-26537_xl.jpg'}"
295,Business Bay,Business Bay,Tiara United Towers,Under development,https://propsearch.ae/dubai/tiara-united-towers,"{'tiara-united-towers-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development'}, 'companies-associated-with-tiara-united-towers': {'Developer': 'Zabeel Investments'}, 'tiara-united-towers-milestones': {'Construction Started': '2006'}, 'proximity-to-landmarks': {'Palm Jumeirah': '17 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '15 mins drive', 'Mall of the Emirates': '12 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '15 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '20 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°11 19.8""N 55°15 35.7""E","{'caption': 'Tiara United Towers, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/tiara-united-towers-28577_xl.jpg'}"
296,Business Bay,Business Bay,Commercial & Residential Tower Plot 3460763,Under development,https://propsearch.ae/dubai/commercial-residential-tower-plot-3460763,"{'commercial-&-residential-tower-plot-3460763-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '21', 'Floors below ground': '2', 'Building type': 'High-rise building'}, 'companies-associated-with-commercial-&-residential-tower-plot-3460763': {'Architectural Consultant': 'Art Consultants Dubai', 'Contractor': 'Gulf Asia Contracting', 'Piling Contractor': 'Edrafor Piling And Special Foundation'}, 'commercial-&-residential-tower-plot-3460763-milestones': {'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '41 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '8 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '14 mins drive'}}","25°11 25.9""N 55°17 27.7""E","{'caption': 'Commercial &amp; Residential Tower Plot 3460763, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/commercial-residential-tower-plot-3460763-28516_xl.jpg'}"
298,Business Bay,Business Bay,Zada Tower,Under development,https://propsearch.ae/dubai/zada-tower,"{'zada-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Floors below ground': '4', 'Building type': 'Skyscraper', 'Total units': '699', 'Unit types': '699 one-bedroom apartments'}, 'companies-associated-with-zada-tower': {'Developer': 'Damac Properties', 'Architectural Consultant': 'Kieferle & Partner', 'Contractor': 'Transemirates Contracting', 'Piling Contractor': 'National Piling Company'}, 'zada-tower-milestones': {'Date Launched': 'April 2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '44 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '19 mins drive'}}","25°11 4.6""N 55°15 42""E","{'caption': 'Zada Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/zada-tower-28566_xl.jpg'}"
299,Business Bay,Business Bay,Yotel Dubai,Under development,https://propsearch.ae/dubai/yotel-dubai,"{'yotel-dubai-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '42', 'Building type': 'Skyscraper', 'Total units': '565', 'Unit types': '565 hotel rooms'}, 'companies-associated-with-yotel-dubai': {'Developer': 'Dubai Investment Properties'}, 'yotel-dubai-milestones': {'Estimated Handover Date': 'Q3 2018', 'Construction Started': 'August 2016'}, 'proximity-to-landmarks': {'Palm Jumeirah': '16 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '15 mins drive', 'Mall of the Emirates': '12 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '15 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '20 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°11 15.8""N 55°15 29.7""E","{'caption': 'Yotel Dubai, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/yotel-dubai-28576_xl.jpg'}"
303,Business Bay,Business Bay,West Bay Tower,Under development,https://propsearch.ae/dubai/west-bay-tower,"{'west-bay-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '34', 'Floors below ground': '4', 'Building type': 'Skyscraper', 'Total units': '252', 'Unit types': '24 studios78 one-bedroom apartments120 two-bedroom apartments30 three-bedroom apartments'}, 'companies-associated-with-west-bay-tower': {'Developer': 'Orion Real Estate Development', 'Project Manager': 'Bonyan International Investment Group Holding', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'Gulf Technical Construction Company', 'Piling Contractor': 'Geo Foundation Group'}, 'west-bay-tower-milestones': {'Estimated Handover Date': '2009', 'Revised Estimated Handover Date': 'December 2019', 'Construction Started': 'October 2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '44 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '19 mins drive'}}","25°11 5""N 55°15 48.1""E","{'caption': 'West Bay Tower, construction site signboard.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/west-bay-tower-28630_xl.jpg'}"
306,Business Bay,Business Bay,Waterfall Tower,Under development,https://propsearch.ae/dubai/waterfall-tower,"{'waterfall-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '22', 'Building type': 'High-rise building'}, 'companies-associated-with-waterfall-tower': {'Developer': 'Faisal Muhsen Barakat', 'Architectural Consultant': 'Nàbito Architects'}, 'waterfall-tower-milestones': {'Date Launched': '2017', 'Construction Started': '2017'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '18 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '23 mins drive', 'Dubai International Airport': '17 mins drive'}}","25°10 51""N 55°15 57.3""E","{'caption': 'Waterfall Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/waterfall-tower-28562_xl.jpg'}"
312,Business Bay,Business Bay,Vera by Damac,Under development,https://propsearch.ae/dubai/vera-by-damac,"{'vera-by-damac-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Building type': 'Skyscraper', 'Unit types': 'StudiosOne-bedroom apartmentsTwo-bedroom apartments'}, 'companies-associated-with-vera-by-damac': {'Developer': 'Damac Properties', 'Architectural Consultant': 'U+A Architects', 'Contractor': 'Arabtec Construction', 'Piling Contractor': 'National Piling Company'}, 'vera-by-damac-milestones': {'Date Launched': 'June 2016', 'Estimated Handover Date': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '22 mins drive', 'Al Maktoum International Airport': '43 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '17 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '20 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '25 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°11 13.2""N 55°16 57.8""E","{'caption': 'Vera by Damac, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/vera-by-damac-28606_xl.jpg'}"
