area,sub_area,project,status,url,coordinates,developer,architectural_consultant,engineering_consultant,contractor,piling_contractor,owner,location_type,area_propsearch,phase,status,floors,floors_below_ground,building_type,height,total_units,unit_types,also_known_as,construction_started,date_launched,estimated_handover_date,caption,photo_url
Business Bay,Business Bay,Niki Lauda Twin Towers,Under development (On hold),https://propsearch.ae/dubai/niki-lauda-twin-towers,"25°11 19""N 55°16 15.4""E",Define Properties,Al Hazmi & Associates Consultant,MBA Engineering Consultancy,Saqer Engineering & Contracting Enterprises LLC,International Foundation Group,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,,2008,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/niki-lauda-twin-towers-2080_xl.jpg
Business Bay,Business Bay,Langham Place Downtown Dubai,Under development (On hold),https://propsearch.ae/dubai/langham-place-downtown-dubai,"25°11 26""N 55°17 24""E",Omniyat Properties,Soma Architects,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,,,August 2015,Q3 2020,update January 2021,https://static.propsearch.ae/dubai-locations/langham-place-downtown-dubai-26566_xl.jpg
Business Bay,Business Bay,Polaris,Under development (On hold),https://propsearch.ae/dubai/polaris,"25°11 11.1""N 55°15 44.5""E",Ahmad Abul Rahim Al Attar,,,,,,Mixed-use building,Business Bay,Under development,On hold,32,3,Skyscraper,,,,,2008,,,update May 2021,https://static.propsearch.ae/dubai-locations/polaris-28568_xl.jpg
Business Bay,Business Bay,Alsuwaidi Four Star Hotel,Under development (On hold),https://propsearch.ae/dubai/alsuwaidi-four-star-hotel,"25°10 39.4""N 55°16 16.9""E",Ali Mohammad Obaid Alqutami Alsuwaidi,Abdul Rahim Architectural Consultants,,,,,Hotel,Business Bay,Under development,On hold,19,,High-rise building,,,,,Q4 2017,2017,,update January 2021,https://static.propsearch.ae/dubai-locations/alsuwaidi-four-star-hotel-26506_xl.jpg
Business Bay,Business Bay,Al Zarouni Hotel Apartments,Under development (On hold),https://propsearch.ae/dubai/al-zarouni-hotel-apartments,"25°10 38.7""N 55°16 28.4""E",Abdulrazaq Ali Hassan Al-Zarouni,Landmark Engineering Consultant,,,,,Hotel apartments building,Business Bay,Under development,On hold,23,,High-rise building,,,,,2017,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/al-zarouni-hotel-apartments-28546_xl.jpg
Business Bay,Business Bay,La Maison by HDS,Under development (On hold),https://propsearch.ae/dubai/la-maison-by-hds,"25°11 14.4""N 55°17 33.3""E",HDS Group,Archgroup Consultants,WSP Parsons Brinckerhoff,,,,Residential building,Business Bay,Under development,On hold,105,,Supertall skyscraper,"365 metres (1,198 feet)",,,,March 2016,2016,,update June 2020,https://static.propsearch.ae/dubai-locations/la-maison-by-hds-21352_xl.jpg
Business Bay,Business Bay,Sky Scraper,Under development (On hold),https://propsearch.ae/dubai/sky-scraper,"25°11 1.4""N 55°15 48.9""E",Al Attar Properties LLC,National Engineering Bureau,,,,,Office building,Business Bay,Under development,On hold,65,,Skyscraper,,,,,2006,,,update May 2021,https://static.propsearch.ae/dubai-locations/sky-scraper-28631_xl.jpg
Business Bay,Business Bay,Symphony Business Bay,Under development (On hold),https://propsearch.ae/dubai/symphony-business-bay,"25°10 46.4""N 55°16 2.9""E",Gemini Global Real Estate Limited,LACASA Architects & Engineering Consultants,,,National Piling Company,,Residential building,Business Bay,Under development,On hold,30,,Skyscraper,,455,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,December 2017,September 2017,May 2020,update January 2021,https://static.propsearch.ae/dubai-locations/symphony-business-bay-26523_xl.jpg
Business Bay,Business Bay,Kempinski Residences Business Bay,Under development (On hold),https://propsearch.ae/dubai/kempinski-residences-business-bay,"25°11 12.2""N 55°17 26.7""E",Gemstone Real Estate Development,Aedas Limited,,,,,Mixed-use building,Business Bay,Under development,On hold,65,,Skyscraper,276 metres (906 feet),800,,,2014,August 2016,Q4 2019,update January 2021,https://static.propsearch.ae/dubai-locations/kempinski-residences-business-bay-26478_xl.jpg
Business Bay,Business Bay,Intercontinental Residence Suites Business Bay,Under development (On hold),https://propsearch.ae/dubai/intercontinental-residence-suites-business-bay,"25°10 53.4""N 55°16 14.3""E",Consult Project Development Consultant,Buro Kling Architectural Engineering Consultants,,,Zetas Zamin Teknolojisi,Al Ali Property Investment,Residential building,Business Bay,Under development,On hold,23,3,High-rise building,,,,,,2016,,update January 2021,https://static.propsearch.ae/dubai-locations/intercontinental-residence-suites-business-bay-26520_xl.jpg
Business Bay,Business Bay,ENI Star Tower,Under development (On hold),https://propsearch.ae/dubai/eni-star-tower,"25°11 33.4""N 55°17 15""E",Emirates National Investment,LACASA Architects & Engineering Consultants,,,,,Residential building,Business Bay,Under development,On hold,27,,Skyscraper,,299,120 one-bedroom apartments146 two-bedroom apartments33 three-bedroom apartments,,2016,2016,,"ENI Star Tower, undeveloped plot.",https://static.propsearch.ae/dubai-locations/eni-star-tower-14868_xl.jpg
Business Bay,Business Bay,Dream Bay,Under development (On hold),https://propsearch.ae/dubai/dream-bay,"25°10 47.1""N 55°16 0.6""E",,Aedas Limited,,,,,Office building,Business Bay,Under development,On hold,32,,Skyscraper,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/dream-bay-2560_xl.jpg
Business Bay,Business Bay,DEC Business Tower,Under development (On hold),https://propsearch.ae/dubai/dec-business-tower,"25°10 42.9""N 55°16 20.6""E",,Architectural & Engineering Innovations Bureau,,,,,Office building,Business Bay,Under development,On hold,23,,High-rise building,,,,,2009,,,update July 2020,https://static.propsearch.ae/dubai-locations/dec-business-tower-22140_xl.jpg
Business Bay,Business Bay,Hyatt Regency Dubai Business Bay,Under development (On hold),https://propsearch.ae/dubai/hyatt-regency-dubai-business-bay,"25°11 12.5""N 55°16 25.8""E",,RMJM Dubai,,,,,Hotel,Business Bay,Under development,On hold,,,,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/hyatt-regency-dubai-businiess-bay-5378_xl.jpg
Business Bay,Business Bay,Hotel Plot 3460582,Under development (On hold),https://propsearch.ae/dubai/hotel-plot-3460582,"25°10 41.7""N 55°16 13.6""E",Dubai Development Authority,Rimal Engineering Consultant,,,Dutch Foundation Co.,Ahmed Ali Alabdulla Al Ansari,Hotel,Business Bay,Under development,On hold,18,1,High-rise building,,,,,2019,,,update January 2021,https://static.propsearch.ae/dubai-locations/hotel-plot-3460582-26510_xl.jpg
Business Bay,Business Bay,Hotel Business Bay East,Under development (On hold),https://propsearch.ae/dubai/hotel-business-bay-east,"25°11 29.8""N 55°17 29.9""E",,Eng. Adnan Saffarini,,,,,Residential building,Business Bay,Under development,On hold,29,,Skyscraper,,,,,2018,2017,,"Hotel Business Bay East, undeveloped plot.",https://static.propsearch.ae/dubai-locations/hotel-business-bay-east-19281_xl.jpg
Business Bay,Business Bay,Global Bay View,Under development (On hold),https://propsearch.ae/dubai/global-bay-view,"25°11 6.4""N 55°16 56.9""E",,Arkiplan Consulting Architects & Engineers,,,,,Office building,Business Bay,Under development,On hold,20,,High-rise building,,,,,2007,,2009,update July 2020,https://static.propsearch.ae/dubai-locations/global-bay-view-22183_xl.jpg
Business Bay,Business Bay,Flame Towers,Under development (On hold),https://propsearch.ae/dubai/flame-towers,"25°11 15.6""N 55°16 21.4""E",Al Jaziri Brothers,Carlos Ott Architect,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,Al Jaziri Brothers Tower,2013,,,update May 2016,https://static.propsearch.ae/photos/dubai/buildings/flame-towers-6484_xl.jpg
Business Bay,Business Bay,Crowne Plaza Business Bay,Under development (On hold),https://propsearch.ae/dubai/crowne-plaza-business-bay,"25°11 6.9""N 55°16 26.7""E",Al Ali Property Investment,Killa Design,,,Universal Piling Foundation LLC,,Hotel,Business Bay,Under development,On hold,,,,,,,,2019,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/crowne-plaza-business-bay-28613_xl.jpg
Business Bay,Business Bay,Canada Business Centre Tower,Under development (On hold),https://propsearch.ae/dubai/canada-business-centre-tower,"25°10 48""N 55°16 32.1""E",Aakar Developers Ltd,Arkiplan Consulting Architects & Engineers,,Don Valley Building Contracting LLC,,,Office building,Business Bay,Under development,On hold,19,,High-rise building,,,,,2007,2006,,update July 2020,https://static.propsearch.ae/dubai-locations/canada-business-centre-tower-22148_xl.jpg
Business Bay,Business Bay,Burj Pacific,Under development (On hold),https://propsearch.ae/dubai/burj-pacific,"25°11 21.9""N 55°16 57.5""E",Pacific Ventures Ltd,HAO Architectural & Engineering Consultants,,,,,Residential building,Business Bay,Under development,On hold,21,,High-rise building,,145,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsDuplexes,,2013,,March 2017,update May 2021,https://static.propsearch.ae/dubai-locations/burj-pacific-28602_xl.jpg
Business Bay,Business Bay,Boraq Tower,Under development (On hold),https://propsearch.ae/dubai/boraq-tower,"25°10 50.4""N 55°16 0.6""E",,,,,,,Office building,Business Bay,Under development,On hold,45,,Skyscraper,,,,,,2007,2009,"Boraq Tower, undeveloped plot.",https://static.propsearch.ae/dubai-locations/boraq-tower-22127_xl.jpg
Business Bay,Business Bay,The Sterling,Under development (On hold),https://propsearch.ae/dubai/the-sterling,"25°11 19.3""N 55°16 55.6""E",Omniyat Properties,FHSI Architects,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,,2014,,,update May 2021,https://static.propsearch.ae/dubai-locations/the-sterling-28603_xl.jpg
Business Bay,Business Bay,West 5 Tower,Under development (On hold),https://propsearch.ae/dubai/west-5-tower,"25°11 7.4""N 55°15 34.3""E",Fortune 5,VX Architects,,,,,Residential building,Business Bay,Under development,On hold,35,,Skyscraper,,,,,,2017,,"West 5 Tower, undeveloped plot.",https://static.propsearch.ae/photos/dubai/buildings/west-5-tower-10705_xl.jpg
Business Bay,Business Bay,United Arab Bank Regional Offices,Under development (On hold),https://propsearch.ae/dubai/united-arab-bank-regional-offices,"25°11 30""N 55°17 14.2""E",United Arab Bank,WSP Parsons Brinckerhoff,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,,Q1 2016,Q1 2016,,update January 2021,https://static.propsearch.ae/dubai-locations/united-arab-bank-regional-offices-26473_xl.jpg
Business Bay,Business Bay,Tulip Tower,Under development (On hold),https://propsearch.ae/dubai/tulip-tower,"25°11 14.7""N 55°17 11.5""E",Tulip Business Development,Eng. Adnan Saffarini,,,,,Office building,Business Bay,Under development,On hold,20,,High-rise building,,,,,2008,,2009,,
